Date,Sleep_Started,Struggle_Time,Interventions,Actual_Sleep_Time,Wake_Up_Time,Sleep_Duration,Sleep_Location,Total_Sleep_Mins,Total_Struggle_Mins
5/17/2017,8:41:00 PM,0:00:00,,8:41:00 PM,1:40:00 AM,4:59:00,Crib,299.00,0.00
5/18/2017,1:55:00 AM,0:51:00,,2:46:00 AM,4:43:00 AM,1:57:00,Crib,117.00,51.00
5/18/2017,4:45:00 AM,0:00:00,,4:45:00 AM,6:09:00 AM,1:24:00,Crib,84.00,0.00
5/18/2017,6:20:00 AM,0:00:00,,6:20:00 AM,7:31:00 AM,1:11:00,Crib,71.00,0.00
5/18/2017,11:14:00 AM,0:00:00,,11:14:00 AM,11:58:00 AM,0:44:00,Car,44.00,0.00
5/18/2017,2:30:00 PM,0:00:00,,2:30:00 PM,4:03:00 PM,1:33:00,Crib,93.00,0.00
5/18/2017,10:29:00 PM,0:00:00,,10:29:00 PM,12:20:00 AM,1:51:00,Crib,111.00,0.00
5/19/2017,12:35:00 AM,0:00:00,,12:35:00 AM,3:35:00 AM,3:00:00,Crib,180.00,0.00
5/19/2017,3:41:00 AM,0:00:00,,3:41:00 AM,5:00:00 AM,1:19:00,Crib,79.00,0.00
5/19/2017,5:30:00 AM,0:00:00,,5:30:00 AM,7:15:00 AM,1:45:00,Bed,105.00,0.00
5/19/2017,7:30:00 AM,0:00:00,,7:30:00 AM,9:56:00 AM,2:26:00,Bed,146.00,0.00
5/19/2017,10:49:00 AM,0:00:00,,10:49:00 AM,11:24:00 AM,0:35:00,Car,35.00,0.00
5/19/2017,1:59:00 PM,0:00:00,,1:59:00 PM,3:40:00 PM,1:41:00,Crib,101.00,0.00
5/19/2017,5:39:00 PM,0:00:00,,5:39:00 PM,6:39:00 PM,1:00:00,Crib,60.00,0.00
5/19/2017,10:10:00 PM,0:00:00,,10:10:00 PM,3:05:00 AM,4:55:00,Crib,295.00,0.00
5/20/2017,3:05:00 AM,0:28:00,,3:33:00 AM,6:41:00 AM,3:08:00,Crib,188.00,28.00
5/20/2017,7:20:00 AM,0:00:00,,7:20:00 AM,8:50:00 AM,1:30:00,Crib,90.00,0.00
5/20/2017,11:39:00 AM,0:00:00,,11:39:00 AM,12:35:00 PM,0:56:00,Car,56.00,0.00
5/20/2017,4:22:00 PM,0:00:00,,4:22:00 PM,5:42:00 PM,1:20:00,Crib,80.00,0.00
5/20/2017,10:04:00 PM,0:04:00,,10:08:00 PM,1:00:00 AM,2:52:00,Crib ,172.00,4.00
5/21/2017,1:23:00 AM,0:00:00,,1:23:00 AM,6:49:00 AM,5:26:00,Crib ,326.00,0.00
5/21/2017,7:05:00 AM,0:00:00,,7:05:00 AM,8:46:00 AM,1:41:00,Crib ,101.00,0.00
5/21/2017,11:40:00 AM,0:00:00,,11:40:00 AM,12:42:00 PM,1:02:00,Arms,62.00,0.00
5/21/2017,3:46:00 PM,0:00:00,,3:46:00 PM,4:43:00 PM,0:57:00,Crib ,57.00,0.00
5/21/2017,10:15:00 PM,0:10:00,,10:25:00 PM,1:55:00 AM,3:30:00,Crib,210.00,10.00
